id,name,description,is_unique,type_family,tier,power,spawn_rate,duration_multiplier,environment_tags,stat_weight,fixed_region_environments,lore,title
elite_golem_rusty,녹슨 골렘,"오래된 지하 광산에서 살아남은 수호 자동인형. 녹슨 몸체 속에 아직 제작자의 명령이 새겨져 있다. 느리지만 압도적인 완력으로 침입자를 밀어붙인다.",false,golem,2,105,0.15,1.5,"[""ruins"",""underground"",""mountain""]","{""str"":0.4,""vit"":0.4,""int"":0.1,""agi"":0.1}",,,
elite_golem_brass,황동 골렘,"고대 연금술사의 기술로 빚어진 황동빛 자동인형. 산화된 표면 아래 여전히 강력한 원동력이 흐른다. 반복된 충격에도 동작이 멈추지 않는다는 소문이 있다.",false,golem,3,145,0.12,1.6,"[""ruins"",""underground""]","{""str"":0.4,""vit"":0.4,""int"":0.1,""agi"":0.1}",,,
elite_golem_bronze,청동 골렘,"산악 고요한 신전을 지키기 위해 제작된 청동 거상. 수천 년의 세월을 견뎌낸 단단한 몸체를 자랑한다. 공격을 받을수록 분노가 깊어지는 구조로 설계되었다.",false,golem,4,195,0.08,1.8,"[""ruins"",""mountain""]","{""str"":0.4,""vit"":0.4,""int"":0.1,""agi"":0.1}",,,
elite_golem_crystal,수정 골렘,"지하 수정 동굴의 마법 에너지를 흡수해 탄생한 이형의 골렘. 수정 몸체가 마법 공격을 굴절시켜 돌려보낸다. 지성 있는 전술 판단으로 적의 약점을 파악한다.",false,golem,4,195,0.08,1.8,"[""ruins"",""underground""]","{""int"":0.5,""str"":0.3,""vit"":0.1,""agi"":0.1}",,,
elite_orc_warrior,오크 대전사,"전장을 수백 번 살아남은 역전의 오크 전사. 몸 곳곳의 흉터가 그가 겪은 전투의 증거다. 단순하지만 파괴적인 공세로 전선을 무너뜨린다.",false,orc,2,100,0.15,1.5,"[""forest"",""mountain"",""plains""]","{""str"":0.5,""int"":0.3,""vit"":0.1,""agi"":0.1}",,,
elite_orc_shaman,오크 주술사,"부족의 전통 주술을 마스터한 오크 사제. 전투 중에도 저주와 강화 의식을 멈추지 않는다. 주변 오크들의 전투력을 끌어올리는 주문을 시전한다.",false,orc,3,140,0.12,1.6,"[""forest"",""plains""]","{""str"":0.5,""int"":0.3,""vit"":0.1,""agi"":0.1}",,,
elite_orc_chief,오크 족장,"수십 개 부족을 통합한 절대적 지도자. 갑옷보다 무거운 카리스마로 전장을 지배한다. 직접 전투에 참가할 때 부족 전원의 사기가 크게 오른다.",false,orc,4,190,0.08,1.8,"[""mountain"",""plains""]","{""str"":0.5,""int"":0.3,""vit"":0.1,""agi"":0.1}",,,
elite_goblin_raider,고블린 습격자,"무리를 이끌고 상인 행렬을 습격하는 교활한 고블린. 빠른 발과 작은 몸을 이용해 교란전을 펼친다. 혼자보다는 무리로 싸울 때 진가를 발휘한다.",false,goblin,2,90,0.15,1.5,"[""forest"",""underground"",""mountain""]","{""agi"":0.4,""int"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_goblin_shaman,고블린 주술사,"동굴 깊은 곳에서 금지된 주술을 익힌 고블린 술사. 독무와 환각 마법으로 상대를 혼란에 빠뜨린다. 작은 체구에서 나오는 마법 위력이 예상을 뛰어넘는다.",false,goblin,3,130,0.12,1.6,"[""forest"",""underground""]","{""agi"":0.4,""int"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_goblin_hobchief,홉고블린 대장,"일반 고블린의 세 배 크기로 성장한 변이 홉고블린. 산악 요새를 본거지로 삼아 주변 지역을 약탈한다. 잔인한 지략가로 함정과 매복을 즐겨 사용한다.",false,goblin,4,180,0.08,1.8,"[""mountain"",""underground""]","{""agi"":0.4,""int"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_troll_swamp,늪지 트롤,"검은 늪에서 태어난 거체 트롤. 독성 늪물에 오랫동안 잠겨 있어 피부가 굳고 독성을 지니게 되었다. 무거운 몸에서 나오는 충격파가 지면을 흔든다.",false,troll,3,145,0.12,1.6,"[""swamp"",""forest""]","{""vit"":0.4,""str"":0.4,""int"":0.1,""agi"":0.1}",,,
elite_troll_mountain,산악 트롤,"험준한 산악을 주름잡는 거대한 트롤. 수십 년간 바위를 먹으며 몸이 돌처럼 단단해졌다. 위에서 굴러 내려오는 돌진 공격이 가장 위험하다.",false,troll,4,195,0.08,1.8,"[""mountain""]","{""vit"":0.4,""str"":0.4,""int"":0.1,""agi"":0.1}",,,
elite_lizard_swamp,늪지 리자드,"검은 늪지에 서식하는 리자드맨 전사. 미끄러운 비늘이 공격을 흘려내고 긴 꼬리로 상대를 쓸어버린다. 물속에 은신했다가 기습하는 전술을 즐긴다.",false,lizardman,2,100,0.15,1.5,"[""swamp""]","{""agi"":0.4,""str"":0.3,""vit"":0.2,""int"":0.1}",,,
elite_lizard_desert,모래도마뱀 전사,"사막 열기를 에너지로 삼는 리자드맨 엘리트. 뜨거운 모래 위를 빠르게 달리며 창으로 공격한다. 낮의 강렬한 햇빛 속에서 전투력이 절정에 달한다.",false,lizardman,3,140,0.12,1.6,"[""desert""]","{""agi"":0.4,""str"":0.3,""vit"":0.2,""int"":0.1}",,,
elite_lizard_coast,바다뱀 사령관,"해안 일대를 지배하는 해양 리자드맨 지휘관. 바다뱀을 길들여 부하로 삼으며 독성 창으로 공격한다. 물과 육지 양쪽에서 자유롭게 전투를 펼친다.",false,lizardman,4,190,0.08,1.8,"[""coast""]","{""agi"":0.4,""str"":0.3,""vit"":0.2,""int"":0.1}",,,
elite_undead_skeleton,방랑 스켈레톤,"전장을 헤매는 잊혀진 전사의 유골. 오래된 무기를 여전히 쥔 채 침입자를 공격한다. 죽음의 공포를 모르기에 후퇴를 모른다.",false,undead,2,90,0.15,1.5,"[""ruins"",""plains""]","{""int"":0.4,""agi"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_undead_bonemage,뼈 주술사,"뼈를 재료로 삼는 죽음의 마법사. 주변 해골들을 수하로 불러들이며 저주를 뿌린다. 광활한 폐허와 늪지에서 이미 죽은 것들을 지배한다.",false,undead,3,130,0.12,1.6,"[""ruins"",""swamp""]","{""int"":0.4,""agi"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_undead_ghoul,굶주린 구울,"살점을 향한 끝없는 굶주림에 사로잡힌 시체 괴물. 지하와 늪지의 어둠 속을 빠르게 이동한다. 무리를 이루어 공격할 때 가장 위험하다.",false,undead,3,130,0.12,1.6,"[""swamp"",""underground""]","{""int"":0.4,""agi"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_undead_knight,망령 기사,"폐허 속에 잠든 고귀한 기사의 망령. 생전의 갑옷과 검을 그대로 지니고 침입자를 처형하려 한다. 강렬한 원한이 육신의 한계를 넘어서는 힘을 부여한다.",false,undead,4,180,0.08,1.8,"[""ruins""]","{""int"":0.4,""agi"":0.3,""str"":0.2,""vit"":0.1}",,,
elite_elemental_fire,화염 정령,"사막 깊은 곳과 고대 화로에서 소환된 원소 존재. 불꽃을 몸으로 삼아 닿는 것을 모두 태운다. 분노할수록 열기가 강해지며 주변 지형에 불을 퍼뜨린다.",false,elemental,3,125,0.12,1.6,"[""desert"",""ruins""]","{""int"":0.6,""str"":0.2,""vit"":0.1,""agi"":0.1}",,,
elite_elemental_water,물의 정령,"해안의 파도와 늪지의 고인 물에서 깨어난 정령. 액체 몸체로 물리 공격을 흘려내며 적의 움직임을 늦춘다. 차갑고 깊은 곳에서 강력한 물의 기둥을 내뿜는다.",false,elemental,3,125,0.12,1.6,"[""coast"",""swamp""]","{""int"":0.6,""agi"":0.2,""vit"":0.1,""str"":0.1}",,,
elite_elemental_earth,대지의 정령,"산과 지하의 지맥에서 응집한 흙과 바위의 화신. 발걸음마다 지진이 일어나며 땅 속에서 솟아오르는 바위 덩어리로 공격한다. 불과 번개에 강하게 저항한다.",false,elemental,3,125,0.12,1.6,"[""mountain"",""underground""]","{""int"":0.6,""vit"":0.2,""str"":0.1,""agi"":0.1}",,,
elite_elemental_wind,바람 정령,"높은 산악과 광활한 평원에서 불어오는 폭풍의 화신. 보이지 않는 칼날로 공격하며 적의 대형을 흩뜨린다. 이동 속도가 극히 빨라 잡기 어렵다.",false,elemental,4,175,0.08,1.8,"[""mountain"",""plains""]","{""int"":0.6,""agi"":0.2,""vit"":0.1,""str"":0.1}",,,
elite_beast_wolf,서리 늑대,"북부 숲과 산악에 서식하는 대형 회색 늑대. 서리처럼 차가운 숨결로 적의 발을 얼린다. 무리의 선봉에 서 적을 교란한다.",false,beast,2,95,0.15,1.5,"[""forest"",""mountain""]","{""str"":0.4,""agi"":0.4,""vit"":0.1,""int"":0.1}",,,
elite_beast_bear,거대 곰,"원시림 깊은 곳을 지배하는 거대한 불곰. 거친 발톱으로 나무를 박살 내며 영역을 표시한다. 새끼를 위협받으면 광포한 분노로 전투력이 두 배가 된다.",false,beast,3,135,0.12,1.6,"[""forest"",""plains""]","{""str"":0.4,""agi"":0.4,""vit"":0.1,""int"":0.1}",,,
elite_beast_tiger,검치호,"깊은 숲과 험준한 산악에 도사리는 거대 검치호랑이. 먹이를 향해 순식간에 달려드는 속도가 압도적이다. 일격에 치명상을 노리는 은밀한 사냥꾼이다.",false,beast,4,185,0.08,1.8,"[""forest"",""mountain""]","{""str"":0.4,""agi"":0.4,""vit"":0.1,""int"":0.1}",,,
elite_insect_spider,거대 독거미,"숲 속 나무와 지하 동굴에 거대한 거미줄을 치는 독거미. 독성 실로 상대를 묶어 움직임을 봉쇄한다. 날카로운 독니로 마비 독을 주입한다.",false,insect,2,90,0.15,1.5,"[""forest"",""underground""]","{""agi"":0.4,""int"":0.3,""vit"":0.2,""str"":0.1}",,,
elite_insect_beetle,뿔벌레 전사,"늪지와 지하 동굴을 서식지로 삼는 거대 뿔벌레. 단단한 뿔 갑옷이 대부분의 물리 공격을 막아낸다. 뿔을 이용한 돌진 공격이 방어진을 무너뜨린다.",false,insect,3,130,0.12,1.6,"[""swamp"",""underground""]","{""agi"":0.4,""int"":0.3,""vit"":0.2,""str"":0.1}",,,
elite_insect_scorpion,여왕 전갈,"사막 지하 깊숙이 서식하는 거대 전갈의 여왕. 꼬리의 독침에 담긴 독이 극도로 강력하다. 모래 속에 숨어 있다가 불시에 공격한다.",false,insect,4,180,0.08,1.8,"[""desert"",""underground""]","{""agi"":0.4,""int"":0.3,""vit"":0.2,""str"":0.1}",,,
elite_demon_imp,작은 임프,"폐허와 습지에 서식하는 소형 악마. 작은 몸집으로 빠르게 날아다니며 저주 불꽃을 내뿜는다. 떼를 지어 나타나면 소규모 용병 부대도 고전하게 만든다.",false,demon,3,125,0.12,1.6,"[""ruins"",""swamp""]","{""int"":0.5,""str"":0.3,""vit"":0.1,""agi"":0.1}",,,
elite_demon_barbarian,심연의 바바리언,"지하 심연에서 소환된 타락한 전사. 인간이었던 기억과 악마의 힘이 뒤섞여 광포한 전투 본능을 지닌다. 폐허의 어둠 속에서 무작위로 나타나 파괴를 일삼는다.",false,demon,4,175,0.08,1.8,"[""ruins"",""underground""]","{""int"":0.5,""str"":0.3,""vit"":0.1,""agi"":0.1}",,,
elite_wolf_ulbur,늑대왕 울부르,"북부 숲을 지배하는 전설적인 회색 늑대. 달이 밝은 밤이면 산맥에 울리는 그의 울음이 모든 야수를 잠재운다. 생존 본능이 극도로 발달해 어떤 함정도 쉽게 꿰뚫어 본다.",true,beast,2,120,0.08,1.7,"[""forest"",""mountain""]","{""str"":0.4,""agi"":0.4,""vit"":0.1,""int"":0.1}","[""forest"",""mountain""]","수백 년 전부터 북부 숲에 군림해 온 울부르는 단순한 야수가 아니라 지역의 살아있는 전설이다. 주변 마을 사람들은 달밤에 들려오는 울부르의 울음을 두려워하며 함부로 숲에 들어가지 않는다. 용병단이 처음 이 지역에 발을 들였을 때 숲 속 짐승들이 일제히 사라졌다는 증언이 있다. 울부르를 토벌하면 그가 지녀온 북부 숲의 지배권이 용병단에게 넘어오며 깃발을 거수할 땅이 열린다.",북부 숲의 왕
elite_golem_steel,강철 골렘,"전설적인 연금술사 하들란이 폐광 깊은 곳에 숨긴 보물을 지키기 위해 만든 불사의 수호자. 수백 년간 주인의 명령을 이행하며 침입자를 격퇴해왔다. 청동이나 황동과 달리 강철 몸체는 어떤 무기에도 쉽게 손상되지 않는다.",true,golem,3,170,0.07,1.8,"[""ruins"",""underground""]","{""str"":0.4,""vit"":0.4,""int"":0.1,""agi"":0.1}","[""ruins"",""underground""]","하들란이 남긴 기록에 따르면 강철 골렘은 세 번의 죽음을 견디도록 설계되었다. 지하 깊은 곳을 지키는 그의 발걸음 소리만으로도 광부들은 도망쳤고 한때 강력한 용병단 셋이 한꺼번에 도전했지만 모두 패퇴했다고 전해진다. 그러나 연금술사의 설계에는 약점이 있다 — 설계자 자신도 알지 못했던 균열. 골렘의 가슴 한가운데에 새겨진 하들란의 문장이 바로 그것이다. 토벌에 성공하면 수호의 문장이 새겨진 유물이 남는다.",폐광 최심부의 불사 수호자
elite_hydra_swamp,습지의 히드라,"검은 늪 깊은 곳에 잠든 세 머리의 거대 독룡. 각 머리가 독안개와 불꽃 그리고 얼음 숨결을 내뿜는 서로 다른 속성을 지닌다. 머리를 하나 잘라도 고통으로 더욱 광폭해질 뿐 죽지 않는다는 전설이 있다.",true,lizardman,3,165,0.07,1.8,"[""swamp""]","{""agi"":0.4,""str"":0.3,""vit"":0.2,""int"":0.1}","[""swamp""]","습지의 히드라는 어둠의 저주를 머금은 고대 용족의 후예라고 전해진다. 한때 이 늪지대의 마을들은 히드라에게 제물을 바쳐 평화를 유지했으나 그 전통이 끊기자 마을이 사라졌다. 세 머리 중 하나를 쓰러뜨리면 나머지 둘이 더욱 맹렬해진다는 전투 기록이 남아있다. 토벌 성공 시 히드라의 황금빛 비늘이 용병단 보물로 회수된다.",검은 늪의 세 머리 독룡
elite_skeleton_general,백골의 장군,"멸망한 왕국의 사령관이 죽어서도 전장을 떠나지 못하는 망령 장군. 부하 스켈레톤 군단을 지휘하며 끝나지 않는 전투를 계속한다. 생전의 전술 지식이 그대로 남아 용병들을 고전시킨다.",true,undead,3,155,0.07,1.8,"[""ruins"",""plains""]","{""int"":0.4,""agi"":0.3,""str"":0.2,""vit"":0.1}","[""ruins"",""plains""]","수백 년 전 이 땅에 존재했던 왕국의 마지막 전쟁에서 장군은 왕의 명령에 따라 끝까지 싸우다 전사했다. 그러나 왕국이 멸망한 뒤에도 그는 왕국을 지키라는 마지막 명령을 이행하기 위해 일어났다. 그의 군령 아래 쓰러진 적들은 모두 스켈레톤으로 일어나 부하가 된다. 백골의 장군을 토벌하면 왕국 시대에 울렸던 군호의 뿔피리가 유물로 남는다.",잊혀진 왕국의 죽은 사령관
elite_guardian_desert,사막의 파수꾼,"태양 아래 수천 년을 깨어있는 고대 석상의 수호자. 고대 유적의 주인이 남긴 마법으로 움직이며 빛을 굴절시켜 공격한다. 사막의 뜨거운 모래 위에서 절대 지치지 않는다.",true,unique_transcendent,4,205,0.06,2.0,"[""desert"",""ruins""]","{""vit"":0.4,""str"":0.3,""int"":0.2,""agi"":0.1}","[""desert"",""ruins""]","파수꾼의 기원은 사막 깊은 곳에 잠든 고대 문명의 신전으로 거슬러 올라간다. 신전의 건설자들이 영원한 수호를 위해 만든 석상에 고대 영혼을 봉인했다는 설이 있다. 수천 년간 사막을 지켜온 그 앞에 도전한 자들은 모두 뼈만 남겼다는 기록이 사막 탐험가들의 수기에 전해진다. 파수꾼의 봉인이 깨지면 안에서 고대 수호의 문장이 새겨진 유물이 나온다고 한다.",태양 아래 수천 년의 파수꾼
elite_witch_morgan,검은 마녀 모르간,"숲의 심부에서 수백 년간 저주를 엮어온 고대 마녀. 마법으로 용병들의 정신을 공격하며 나무와 덩굴을 의지대로 움직인다. 직접 공격보다 혼란과 공포로 상대를 무력화하는 전략가다.",true,demon,4,195,0.06,2.0,"[""forest"",""ruins""]","{""int"":0.6,""str"":0.2,""vit"":0.1,""agi"":0.1}","[""forest"",""ruins""]","모르간은 한때 유명한 마법사였으나 금지된 고대 지식을 탐한 대가로 불사의 저주에 걸렸다고 전해진다. 폐허가 된 숲속 탑을 거처로 삼아 수백 년간 저주의 연구를 계속하고 있다. 그녀가 지나간 자리에는 시든 나무와 뒤틀린 동물들만 남는다. 토벌 성공 시 모르간이 연구하던 고대 지식의 일부가 황금 비늘 형태로 결정화되어 남는다.",숲의 심부에서 저주를 엮는 마녀
elite_kraken_abyss,심해의 크라켄,"해안 절벽 아래 검은 깊은 바다에 잠든 거대 해수. 조사 중 수면 위로 올라오는 거품과 소용돌이가 단서가 된다. 무수한 촉수로 배를 침몰시키고 용병들을 바다 속으로 끌어당긴다.",true,unique_transcendent,4,210,0.06,2.0,"[""coast""]","{""vit"":0.4,""str"":0.3,""agi"":0.2,""int"":0.1}","[""coast""]","해안 마을 어부들의 전설에 따르면 크라켄은 수백 년마다 한 번씩 잠에서 깨어나 해안 마을을 휩쓴다고 한다. 최근 해안 무역로를 오가는 상인들의 배가 연이어 사라지면서 그 공포가 현실이 되었다. 해저 깊은 곳에 크라켄이 모아두었다는 난파선들의 보물이 있다는 소문이 있다. 토벌에 성공하면 크라켄의 영역을 상징하는 명예의 뿔피리가 인양된다.",해안 절벽 아래의 해양 군주
elite_lich_primordial,태고의 리치,"시간을 초월한 고대 마법사가 불사의 경지에 이르러 탄생시킨 최강의 언데드. 모든 마법과 저주의 정점에 서 있으며 언데드 전체를 통제하는 능력을 지닌다. 그의 마법진 안에 들어서면 죽음이 가속화된다.",true,undead,5,245,0.05,2.0,"[""ruins"",""underground""]","{""int"":0.5,""vit"":0.3,""str"":0.1,""agi"":0.1}","[""ruins"",""underground""]","리치가 누구였는지는 역사에서 지워졌다. 다만 수천 년 전 이 땅을 다스리던 마법 제국의 마지막 현자였다는 전설이 전해질 뿐이다. 불사의 비밀을 완성한 그는 육신을 버리고 순수한 마력의 존재가 되었으며 지하 미궁 깊은 곳에서 고대 지식을 지키고 있다. 수많은 영웅들이 도전했지만 모두 그의 언데드 군단의 일부가 되어버렸다. 태고의 리치를 쓰러뜨린 자에게는 수호의 문장과 깃발 두 가지 유물이 함께 남겨진다.",시간을 거스른 불사 마법사
