record_id,record_type,faction_id,contact_id,contact_name,npc_name,trigger_type,trigger_value,relation_stage,weight,text,tags_json
contact_m8a_adventurers_dustvile_records,contact,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,infrastructureTier,region_3>=2,noticed,100,폐광을 다시 연 용병단이라면 길드 장부 한 칸쯤은 내줄 수 있겠군.,"{""tone"":""record"",""region"":3}"
contact_m8a_merchants_kale_ledger,contact,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,infrastructureTier,region_3>=3,noticed,100,더스트빌 길이 안전해졌다면 이제 장부에 더 큰 이름을 올릴 때입니다.,"{""tone"":""contract"",""region"":3}"
contact_m8a_warriors_broken_fort_mark,contact,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,achievement,elite_unique_first_kill:*,noticed,100,짐승을 쓰러뜨린 이름은 들었다. 요새의 돌벽 앞에서도 그 이름이 통하는지 보자.,"{""tone"":""trial"",""region"":38}"
reaction_m8a_adv_arrival_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,achievement,settlement_event_completed:settlement_3_pyegwang_reopen,noticed,80,폐광 재개방 기록은 이미 세 번이나 필사됐네. 이제 원본을 확인할 차례야.,"{""mood"":""arrival"",""tag"":""mine""}"
reaction_m8a_adv_arrival_02,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,region_flag,region_10_windrunner_chain_completed,noticed,70,풍신 숲의 길표본이 맞다면 장부보다 지도가 먼저 고쳐져야 하겠군.,"{""mood"":""arrival"",""tag"":""forest""}"
reaction_m8a_adv_arrival_03,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,region_flag,region_38_ironbound_pact_completed,noticed,70,부서진 요새는 소문보다 지형이 먼저 무너지는 곳이지. 네 기록이 필요하네.,"{""mood"":""arrival"",""tag"":""fort""}"
reaction_m8a_adv_patronage_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_reputation,1..10,patronage,80,후원은 가입과 다르네. 이번에는 길드 이름 대신 네 발자국을 빌리겠네.,"{""mood"":""patronage"",""tag"":""guild""}"
reaction_m8a_adv_patronage_02,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_reputation,1..10,patronage,70,지도는 빈칸을 싫어하지. 용병단은 빈칸을 잘 찾아내더군.,"{""mood"":""patronage"",""tag"":""map""}"
reaction_m8a_adv_joined_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_joined,true,joined,80,이제 길드 장부에는 네 이름 옆에 검은 잉크가 아니라 인장이 찍히네.,"{""mood"":""joined"",""tag"":""seal""}"
reaction_m8a_adv_trust_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_reputation,31..60,trusted,70,믿을 만한 기록은 칼보다 오래 남네. 이번 의뢰도 그렇게 남겨 보게.,"{""mood"":""trusted"",""tag"":""record""}"
reaction_m8a_adv_core_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_reputation,61..100,core,60,이제 기록원들이 더스트빌을 지도 가장자리가 아니라 기준점으로 부르기 시작했네.,"{""mood"":""core"",""tag"":""renown""}"
reaction_m8a_adv_conflict_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,conflict_hint,faction_thieves_guild,conflict,50,도둑 길드는 빈 장부를 좋아하지. 우리는 지워진 줄을 다시 쓰는 쪽이고.,"{""mood"":""conflict"",""tag"":""thieves""}"
reaction_m8a_adv_hostile_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,faction_reputation,<0,hostile,60,기록은 편을 들지 않지만 거짓 이름은 보관하지 않네.,"{""mood"":""hostile"",""tag"":""reputation""}"
reaction_m8a_adv_report_01,reaction,faction_adventurers_guild,contact_adventurers_dustvile_records,더스트빌 임시 기록소,기록원 라우덴,combat_report,created,any,60,전투 보고서는 승패보다 누가 무엇을 보았는지 남기는 장부라네.,"{""mood"":""report"",""tag"":""combat_report""}"
reaction_m8a_mer_arrival_01,reaction,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,region_flag,region_127_nomad_friendly,noticed,80,유목민 천막에서 받은 신뢰는 장부에 숫자로만 적히지 않습니다. 길이 열린 셈이지요.,"{""mood"":""arrival"",""tag"":""nomad""}"
reaction_m8a_mer_arrival_02,reaction,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,region_flag,region_31_bandits_cleared,noticed,80,도적길에 수레바퀴 자국이 남기 시작했습니다. 계약서가 따라갈 시간입니다.,"{""mood"":""arrival"",""tag"":""road""}"
reaction_m8a_mer_arrival_03,reaction,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,infrastructureTier,region_3>=3,noticed,80,좌판이 하루를 버티면 행상이고 한 계절을 버티면 교역로입니다.,"{""mood"":""arrival"",""tag"":""stall""}"
reaction_m8a_mer_patronage_01,reaction,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,faction_reputation,1..10,patronage,80,아직 연합원이 아니셔도 됩니다. 신용은 작은 호송에서 먼저 자라니까요.,"{""mood"":""patronage"",""tag"":""credit""}"
reaction_m8a_mer_patronage_02,reaction,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,faction_reputation,1..10,patronage,70,이번 계약은 이익보다 길의 상태를 보는 일입니다. 수레가 돌아와야 다음 장이 열립니다.,"{""mood"":""patronage"",""tag"":""contract""}"
reaction_m8a_mer_joined_01,reaction,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,faction_joined,true,joined,80,이제 당신들의 이름은 외상 장부가 아니라 정식 거래 장부에 올라갑니다.,"{""mood"":""joined"",""tag"":""ledger""}"
reaction_m8a_mer_trust_01,reaction,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,faction_reputation,31..60,trusted,70,평판은 금화처럼 세어지지만 잃을 때는 금화보다 빠릅니다. 오늘도 조심히 다녀오십시오.,"{""mood"":""trusted"",""tag"":""reputation""}"
reaction_m8a_mer_core_01,reaction,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,faction_reputation,61..100,core,60,더스트빌의 길값을 물을 때 이제 사람들은 먼저 당신들 이름을 묻습니다.,"{""mood"":""core"",""tag"":""route""}"
reaction_m8a_mer_conflict_01,reaction,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,conflict_hint,faction_warriors_guild,conflict,60,전사 길드는 싸움이 길을 연다고 믿지요. 우리는 길이 있어야 싸움도 끝난다고 믿습니다.,"{""mood"":""conflict"",""tag"":""warriors""}"
reaction_m8a_mer_hostile_01,reaction,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,faction_reputation,<0,hostile,60,계약을 어긴 이름에는 좋은 가격이 붙지 않습니다.,"{""mood"":""hostile"",""tag"":""contract""}"
reaction_m8a_mer_report_01,reaction,faction_merchants_alliance,contact_merchants_kale_ledger,케일의 거래 장부,외래 상인 케일,combat_report,created,any,60,보고서에 손실과 회수 물량을 나눠 적어 주십시오. 영웅담은 세금 계산에 도움이 안 됩니다.,"{""mood"":""report"",""tag"":""combat_report""}"
reaction_m8a_war_arrival_01,reaction,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,region_flag,region_9_giant_beast_killed,noticed,80,외곽 숲의 송곳니를 꺾었다지. 그 이름이 겁보다 먼저 도착했다.,"{""mood"":""arrival"",""tag"":""beast""}"
reaction_m8a_war_arrival_02,reaction,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,region_flag,region_38_ironbound_pact_completed,noticed,80,요새의 맹세가 다시 묶였으면 이번에는 누가 지키는지 봐야겠군.,"{""mood"":""arrival"",""tag"":""fort""}"
reaction_m8a_war_arrival_03,reaction,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,achievement,elite_unique_first_kill:*,noticed,80,강적을 베었다는 말은 많다. 다시 같은 전열에 설 수 있으면 증명이 된다.,"{""mood"":""arrival"",""tag"":""elite""}"
reaction_m8a_war_patronage_01,reaction,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,faction_reputation,1..10,patronage,80,후원이라 부르지 마라. 아직은 시험장 한쪽을 빌려 주는 것뿐이다.,"{""mood"":""patronage"",""tag"":""trial""}"
reaction_m8a_war_patronage_02,reaction,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,faction_reputation,1..10,patronage,70,검은 허세를 싫어한다. 보고서는 네 전열이 버틴 시간만 적으면 된다.,"{""mood"":""patronage"",""tag"":""line""}"
reaction_m8a_war_joined_01,reaction,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,faction_joined,true,joined,80,이제 네 깃발은 관중석이 아니라 결투장 안쪽에 세워진다.,"{""mood"":""joined"",""tag"":""duel""}"
reaction_m8a_war_trust_01,reaction,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,faction_reputation,31..60,trusted,70,믿는다는 말은 쉽게 하지 않는다. 대신 더 어려운 상대를 부르지.,"{""mood"":""trusted"",""tag"":""challenge""}"
reaction_m8a_war_core_01,reaction,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,faction_reputation,61..100,core,60,요새 벽에 새긴 표식이 지워지기 전까지 네 이름도 같이 남을 것이다.,"{""mood"":""core"",""tag"":""mark""}"
reaction_m8a_war_conflict_01,reaction,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,conflict_hint,faction_merchants_alliance,conflict,60,상인들은 길을 계산하고 우리는 길을 막는 자를 계산한다. 같은 수레를 보아도 셈이 다르지.,"{""mood"":""conflict"",""tag"":""merchants""}"
reaction_m8a_war_hostile_01,reaction,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,faction_reputation,<0,hostile,60,표식을 더럽힌 이름은 결투장 바깥에서 기다려라.,"{""mood"":""hostile"",""tag"":""honor""}"
reaction_m8a_war_report_01,reaction,faction_warriors_guild,contact_warriors_broken_fort_mark,부서진 요새 결투 표식,붉은 창의 벨란,combat_report,created,any,60,보고서에는 승리보다 숨이 끊긴 순간과 버틴 순간을 적어라. 그래야 다음 싸움이 된다.,"{""mood"":""report"",""tag"":""combat_report""}"
